序号,电脑时间戳,接收时间戳,发送时间戳,时延（毫秒）,纬度,经度,海拔,速度（km/h）,锁星数,地面航向(度）,ID,msgCnt,TotalRcvMsgCount,TotalLostMsgCount,AID,Source_Layer2-ID,Dest MAC ID,Priority,Power(dBm),RSSI(dBm),SINR(dB),CBR(%),MCS,RSRP(dBm),EARFCN,Band,TB Size(bit),Type,Label
0,1699941090,1699941087,1699941087,-236.756,116.491163,39.728949,23.3,9.816,47,60.99,F66D578E2976FFFF,27,1,0,3619,8000001,7,8,-123,-93,-1,0,5,-123,55140,47,4264,SPAT,normal
1,1699941090,1699941087,1699941088,-219.73,116.491179,39.728956,23.3,9.816,47,60.99,696E636830303000,33,2,5,3619,8000001,7,8,-122,-92,0,0,5,-122,55140,47,4264,SPAT,normal
2,1699941091,1699941088,1699941088,-215.862,116.491187,39.72896,23.3,9.76,47,60.43,696E636830303000,36,3,7,3619,8000001,7,8,-123,-93,-1,0,5,-123,55140,47,4264,SPAT,normal
3,1699941092,1699941088,1699941089,-219.205,116.491206,39.728968,23.3,9.76,47,60.43,696E636830303000,43,4,13,3619,8000001,7,8,-124,-93,-1,0,5,-124,55140,47,4264,SPAT,normal
4,1699941092,1699941089,1699941089,-223.861,116.491217,39.728973,23.3,9.408,47,59.99,696E636830303000,47,5,16,3619,8000001,7,8,-120,-90,2,0,5,-120,55140,47,4264,SPAT,normal
6,1699941092,1699941089,1699941089,-219.646,116.491223,39.728975,23.3,9.408,47,59.99,696E636830303000,49,6,17,3619,8000001,7,8,-121,-91,1,0,5,-121,55140,47,4264,SPAT,normal
7,1699941093,1699941090,1699941090,-222.812,116.491237,39.72898,23.3,9.371,47,60.43,696E636830303000,54,7,21,3619,8000001,7,8,-122,-83,0,1,5,-122,55140,47,4264,SPAT,normal
8,1699941093,1699941090,1699941091,-222.118,116.491255,39.72899,23.3,9.371,47,60.43,696E636830303000,62,8,28,3619,8000001,7,8,-122,-90,0,0,5,-122,55140,47,4264,SPAT,normal
9,1699941094,1699941091,1699941091,-220.564,116.49127,39.728997,23.3,9.371,47,58.9,696E636830303000,69,9,34,3619,8000001,7,8,-120,-91,2,0,5,-120,55140,47,4264,SPAT,normal
10,1699941094,1699941091,1699941091,-238.15,116.491272,39.728998,23.3,9.371,47,58.9,696E636830303000,70,10,34,3619,8000001,7,8,-121,-88,1,0,5,-121,55140,47,4264,SPAT,normal
11,1699941094,1699941091,1699941092,-220.824,116.491278,39.729001,23.3,9.371,47,58.9,696E636830303000,72,11,35,3619,8000001,7,8,-122,-92,1,1,5,-122,55140,47,4264,SPAT,normal
12,1699941094,1699941091,1699941092,-232.655,116.491281,39.729002,23.3,9.371,47,58.9,696E636830303000,73,12,35,3619,8000001,7,8,-121,-92,1,1,5,-121,55140,47,4264,SPAT,normal
13,1699941095,1699941092,1699941092,-220.248,116.49129,39.729006,23.3,9.39,47,57.94,696E636830303000,76,13,37,3619,8000001,7,8,-125,-89,-3,0,5,-125,55140,47,4264,SPAT,normal
14,1699941095,1699941092,1699941092,-236.704,116.491293,39.729008,23.3,9.39,47,57.94,,77,14,37,3619,8000001,7,8,-117,-89,5,0,5,-117,55140,47,4264,SPAT,normal
15,1699941095,1699941092,1699941092,-235.043,116.491296,39.729009,23.3,9.39,47,57.94,696E636830303000,78,15,37,3619,8000001,7,8,-119,-90,4,1,5,-119,55140,47,4264,SPAT,normal
16,1699941095,1699941092,1699941092,-235.961,116.4913,39.729011,23.3,9.39,47,57.94,696E636830303000,79,16,37,3619,8000001,7,8,-120,-90,2,0,5,-120,55140,47,4264,SPAT,normal
